feature,coefficient,selected,split_id,target_column,alpha,l1_ratio,inner_cv_daily_cs_ic
z_price_to_MA50,0.0023177026342262397,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_MA20_minus_MA50,-0.0008958816945476725,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_volatility_20d,0.0010156799235601292,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_max_drawdown_60d,-0.0016363374410750034,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_ATR_14,-0.006431868276477279,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_volume_change,-0.0003290085911559111,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_relative_volume,0.00016136742626966604,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_RSI_14,-0.0003989086947394829,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_market_beta_60d,-0.0020247994854993303,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_idio_vol_60d,-0.0002630621454414303,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_Federal_Funds_Rate,0.0003997799405067614,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_Treasury_10Y,0.00041910698797578905,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_Yield_Spread_10Y2Y,0.0003263761507940734,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_Breakeven_Inflation_10Y,-0.0,False,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_CPI,0.0006134744517091855,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_Unemployment_Rate,0.00026430013528282647,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_Financial_Conditions_Index,0.0005179850213812928,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_VIX,-0.000874756593073022,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
z_rate_sensitivity_beta,-0.0023567750524777623,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
ETF_XLC,-0.0003207986026300196,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
ETF_XLE,0.0004221197890252863,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
ETF_XLF,-4.23572468246478e-05,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
ETF_XLI,0.0029408551822534493,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
ETF_XLK,0.00034666471956691457,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
ETF_XLP,0.003025931025788735,True,2,target_5d_forward_return_excess_spy,0.0001,0.3,0.0348848878394333
